0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,0,6,3,0,0,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
3,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,13,14,0,0,15,0
4,0,0,0,0,0,910,0,0,0,4,0,0,910,910,910,910,0,910,910,910,910,910,910,0,0,0,16,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,13,18,0,0,15,0
7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,98,0,0,0,0,9,0,98,98,98,98,0,98,98,98,98,98,98,0,0,21,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,22,0,0,0,15,0
11,0,0,0,0,0,926,0,0,0,0,0,0,926,926,926,926,0,926,926,926,926,926,926,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,927,0,0,0,0,0,0,927,927,927,927,0,927,927,927,927,927,927,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,921,0,0,0,0,0,0,23,29,25,30,0,0,28,26,27,24,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,916,0,0,0,0,0,0,916,916,916,916,0,916,916,916,916,916,916,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,99,0,0,0,0,0,0,99,99,99,99,0,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,32,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,36,0,0,0,15,0
21,0,0,0,0,0,97,0,0,0,0,0,0,97,97,97,97,0,97,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,23,29,25,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,38,0
24,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,39,0,0,0,15,0
25,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,40,0
26,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,41,0,0,0,15,0
27,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,42,0,0,0,15,0
28,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,43,0,0,0,15,0
29,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,44,0
30,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,45,0
31,0,6,3,96,96,0,0,5,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,8,0,0,48,49,0,0
32,0,6,3,96,96,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,51,0,0,0,15,0
34,0,6,3,96,0,0,0,5,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,8,0,0,0,52,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,915,0,0,0,0,0,0,915,915,915,915,0,915,915,915,915,915,915,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,911,0,0,0,0,0,0,911,911,911,911,0,911,911,911,911,911,911,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,919,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,914,0,0,0,0,0,0,914,914,914,914,0,914,914,914,914,914,914,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,918,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,920,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,917,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,912,0,0,0,0,0,0,912,912,912,912,0,912,912,912,912,912,912,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,913,0,0,0,0,0,0,913,913,913,913,0,913,913,913,913,913,913,0,0,0,0,0,0,0,0,0,0
46,0,0,0,925,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,924,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,922,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,91,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,23,29,25,30,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
52,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
54,0,6,3,96,96,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,8,0,0,0,0,0,0
55,0,6,3,96,96,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,8,0,0,0,0,0,0
56,0,6,3,96,0,0,0,5,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,8,0,0,0,61,0,0
57,0,6,3,96,96,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,8,0,0,0,0,0,0
58,0,6,3,96,96,0,96,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,8,0,0,0,0,0,0
59,0,0,0,93,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,94,94,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,92,92,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,95,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
