,M,W,I,F,E,T,R,V,B,J,K,Z,A,S,D,X,L,P,Q,H,N,C,G,Z,q0,q1,q2,q3,q4,q5,q6,q7,q8,$
0,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
1,,6,3,,,,96,5,,4,,,,,,,,,,,,,,,,7,,8,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC
3,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,13,14,,,15,
4,,,,,,910,,,,4,,,910,910,910,910,,910,910,910,910,910,910,,,,,16,,,,,,
5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,17,,,,,,
6,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,13,18,,,15,
7,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
9,,,,,,98,,,,,9,,98,98,98,98,,98,98,98,98,98,98,,,,21,,,,,,,
10,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,22,,,,15,
11,,,,,,926,,,,,,,926,926,926,926,,926,926,926,926,926,926,,,,,,,,,,,
12,,,,,,927,,,,,,,927,927,927,927,,927,927,927,927,927,927,,,,,,,,,,,
13,,,,,,921,,,,,,,23,29,25,30,,,28,26,27,24,,,,,,,,,,,,
14,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,916,,,,,,,916,916,916,916,,916,916,916,916,916,916,,,,,,,,,,,
16,,,,,,99,,,,,,,99,99,99,99,,99,99,99,99,99,99,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,33,,,,32,,,,,,,,,,,
18,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,9,,,,,,,,,,,,,,,,35,,,,,,,
20,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,36,,,,15,
21,,,,,,97,,,,,,,97,97,97,97,,97,97,97,97,97,97,,,,,,,,,,,
22,,,,,,,,,,,,,23,29,25,30,,37,,,,,,,,,,,,,,,,
23,,,,,,,,,,4,9,,,,,,,,,,,,,,,,11,12,,,,,38,
24,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,39,,,,15,
25,,,,,,,,,,4,9,,,,,,,,,,,,,,,,11,12,,,,,40,
26,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,41,,,,15,
27,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,42,,,,15,
28,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,43,,,,15,
29,,,,,,,,,,4,9,,,,,,,,,,,,,,,,11,12,,,,,44,
30,,,,,,,,,,4,9,,,,,,,,,,,,,,,,11,12,,,,,45,
31,,6,3,96,96,,,5,46,4,,,,,,,,,,,,,,,,47,,8,,,48,49,,
32,,6,3,96,96,,96,5,,4,,,,,,,,,,,,,,,,50,,8,,,,,,
33,,,,,,,,,,4,9,,,,,,10,,,,,,,,,,11,12,51,,,,15,
34,,6,3,96,,,,5,46,4,,,,,,,,,,,,,,,,47,,8,,,,52,,
35,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,
36,,,,,,,,,,,,,23,29,25,30,,,,,,,54,,,,,,,,,,,
37,,,,,,915,,,,,,,915,915,915,915,,915,915,915,915,915,915,,,,,,,,,,,
38,,,,,,911,,,,,,,911,911,911,911,,911,911,911,911,911,911,,,,,,,,,,,
39,,,,,,919,,,,,,,23,29,25,30,,,,,,,,,,,,,,,,,,
40,,,,,,914,,,,,,,914,914,914,914,,914,914,914,914,914,914,,,,,,,,,,,
41,,,,,,918,,,,,,,23,29,25,30,,,,,,,,,,,,,,,,,,
42,,,,,,920,,,,,,,23,29,25,30,,,,,,,,,,,,,,,,,,
43,,,,,,917,,,,,,,23,29,25,30,,,,,,,,,,,,,,,,,,
44,,,,,,912,,,,,,,912,912,912,912,,912,912,912,912,912,912,,,,,,,,,,,
45,,,,,,913,,,,,,,913,913,913,913,,913,913,913,913,913,913,,,,,,,,,,,
46,,,,925,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,924,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,922,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,91,91,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,23,29,25,30,,,,,,,57,,,,,,,,,,,
52,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
54,,6,3,96,96,,96,5,,4,,,,,,,,,,,,,,,,59,,8,,,,,,
55,,6,3,96,96,,96,5,,4,,,,,,,,,,,,,,,,60,,8,,,,,,
56,,6,3,96,,,,5,46,4,,,,,,,,,,,,,,,,47,,8,,,,61,,
57,,6,3,96,96,,96,5,,4,,,,,,,,,,,,,,,,62,,8,,,,,,
58,,6,3,96,96,,96,5,,4,,,,,,,,,,,,,,,,63,,8,,,,,,
59,,,,93,93,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,94,94,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,92,92,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,95,95,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
